timestamp,test_phase,command_type,command_value,turret_velocity_rps,turret_position_rot,motor_voltage,stator_current,supply_voltage
195.716297,1.0,2.0,0.0,0.0,3.51318359375,0.0,-0.08,11.8071748046875
195.738445,1.0,2.0,0.0,0.0,3.51318359375,0.0,-0.54,11.79460986328125
195.758498,1.0,2.0,0.0,0.0,3.51318359375,0.0,-0.56,11.8071748046875
195.778198,1.0,2.0,0.0,0.0,3.51318359375,0.0,-0.38,11.79460986328125
195.798306,1.0,2.0,0.0,0.0,3.51318359375,0.0,-0.16,11.8071748046875
195.81847,1.0,2.0,0.0,0.0,3.51318359375,0.0,-0.48,11.826022216796874
195.837484,1.0,2.0,0.0,0.0,3.51318359375,0.0,-0.32,11.788327392578125
195.858686,1.0,2.0,0.0,0.0,3.51318359375,0.0,-0.2,11.79460986328125
195.876698,1.0,2.0,0.0,0.0,3.51318359375,0.0,-0.2,11.8071748046875
195.896454,1.0,2.0,0.0,0.0,3.51318359375,0.0,-0.44,11.800892333984375
195.918232,1.0,2.0,0.0,0.0,3.51318359375,0.0,-0.32,11.8071748046875
195.936207,1.0,2.0,0.0,0.0,3.51318359375,0.0,-0.4,11.819739746093749
195.957947,1.0,2.0,0.0,0.0,3.51318359375,0.0,-0.38,11.826022216796874
195.976442,1.0,2.0,0.0,0.0,3.51318359375,0.0,-0.1,11.8071748046875
195.997051,1.0,2.0,0.0,0.0,3.51318359375,0.0,-0.02,11.800892333984375
196.02085,1.0,2.0,0.0,0.0,3.51318359375,0.0,-0.34,11.832304687499999
196.036432,1.0,2.0,0.0,0.0,3.51318359375,0.0,-0.22,11.826022216796874
196.056337,1.0,2.0,0.0,0.0,3.51318359375,0.0,-0.7000000000000001,11.79460986328125
196.076222,1.0,2.0,0.0,0.0,3.51318359375,0.0,-0.56,11.8071748046875
196.098,1.0,0.0,-2.5,0.0,3.51318359375,0.0,-0.48,11.813457275390624
196.120371,1.0,0.0,-2.5,-0.248046875,3.509765625,-2.52,29.740000000000002,11.593570800781249
196.136139,1.0,0.0,-2.5,-0.337890625,3.5053710937500004,-2.52,24.0,11.712937744140625
196.156247,1.0,0.0,-2.5,-0.43359375,3.49560546875,-2.52,6.28,11.7569150390625
196.176411,1.0,0.0,-2.5,-0.44140625,3.48681640625,-2.52,4.22,11.7569150390625
196.199005,1.0,0.0,-2.5,-0.42578124999999994,3.4780273437500004,-2.52,4.34,11.763197509765625
196.215978,1.0,0.0,-2.5,-0.412109375,3.47119140625,-2.52,5.58,11.7569150390625
196.236142,1.0,0.0,-2.5,-0.419921875,3.46044921875,-2.5300000000000002,4.7,11.7569150390625
196.256398,1.0,0.0,-2.5,-0.4453125,3.4516601562499996,-2.52,4.12,11.76947998046875
196.277007,1.0,0.0,-2.5,-0.42578124999999994,3.44287109375,-2.52,4.5,11.775762451171875
196.296912,1.0,0.0,-2.5,-0.4375,3.43408203125,-2.52,4.36,11.7569150390625
