timestamp,test_phase,command_type,command_value,turret_velocity_rps,turret_position_rot,motor_voltage,stator_current,supply_voltage
203.695894,2.0,0.0,4.0,0.0,2.865234375,0.0,-0.46,11.93282421875
203.719045,2.0,0.0,4.0,0.4609375,2.8701171875,4.0200000000000005,35.78,11.44279150390625
203.735777,2.0,0.0,4.0,0.484375,2.87939453125,4.03,37.06,11.61870068359375
203.756256,2.0,0.0,4.0,0.6914062500000001,2.8920898437500004,4.03,15.58,11.750632568359375
203.776717,2.0,0.0,4.0,0.75390625,2.90673828125,4.0200000000000005,7.5200000000000005,11.819739746093749
203.798624,2.0,0.0,4.0,0.740234375,2.92138671875,4.03,6.0200000000000005,11.813457275390624
203.816469,2.0,0.0,4.0,0.763671875,2.935546875,4.03,6.36,11.813457275390624
203.836856,2.0,0.0,4.0,0.740234375,2.95068359375,4.03,6.46,11.826022216796874
203.857224,2.0,0.0,4.0,0.736328125,2.96533203125,4.03,7.16,11.813457275390624
203.87941,2.0,0.0,4.0,0.7578125,2.97998046875,4.03,6.08,11.844869628906249
203.897106,2.0,0.0,4.0,0.744140625,2.994140625,4.03,6.12,11.844869628906249
203.917511,2.0,0.0,4.0,0.740234375,3.009765625,4.03,6.38,11.838587158203124
203.937564,2.0,0.0,4.0,0.77734375,3.0244140624999996,4.03,5.5200000000000005,11.838587158203124
203.956893,2.0,0.0,4.0,0.744140625,3.03857421875,4.03,6.86,11.826022216796874
203.979969,2.0,0.0,4.0,0.763671875,3.0532226562500004,4.03,6.0600000000000005,11.819739746093749
203.996571,2.0,0.0,4.0,0.732421875,3.06884765625,4.03,6.82,11.826022216796874
204.019536,2.0,0.0,4.0,0.744140625,3.08251953125,4.03,6.2,11.819739746093749
204.036676,2.0,0.0,4.0,0.7695312499999999,3.09814453125,4.03,5.98,11.826022216796874
204.056618,2.0,0.0,4.0,0.744140625,3.1123046875,4.03,6.4,11.832304687499999
204.079972,2.0,0.0,4.0,0.75,3.126953125,4.03,6.46,11.826022216796874
204.095536,2.0,0.0,4.0,0.7421875,3.138671875,4.03,6.48,11.819739746093749
204.115996,2.0,0.0,4.0,0.7304687500000001,3.15380859375,4.03,7.08,11.800892333984375
204.135993,2.0,0.0,4.0,0.728515625,3.1708984375,4.03,7.7,11.832304687499999
204.156472,2.0,0.0,4.0,0.744140625,3.1855468749999996,4.03,6.22,11.826022216796874
204.175857,2.0,0.0,4.0,0.76171875,3.19775390625,4.03,6.0,11.819739746093749
204.196633,2.0,0.0,4.0,0.728515625,3.21435546875,4.03,6.72,11.79460986328125
204.216482,2.0,0.0,4.0,0.736328125,3.2294921875,4.03,6.7,11.826022216796874
204.238445,2.0,0.0,4.0,0.7421875,3.2441406250000004,4.03,6.58,11.826022216796874
204.256772,2.0,0.0,4.0,0.7304687500000001,3.2578125,4.03,7.26,11.800892333984375
204.278253,2.0,0.0,4.0,0.7421875,3.27294921875,4.03,6.34,11.813457275390624
204.294763,2.0,0.0,4.0,0.7421875,3.2846679687500004,4.03,6.2,11.832304687499999
204.322569,2.0,0.0,4.0,0.7695312499999999,3.3046875,4.03,5.62,11.838587158203124
204.336018,2.0,0.0,4.0,0.7304687500000001,3.31640625,4.03,6.1000000000000005,11.832304687499999
204.356349,2.0,0.0,4.0,0.72265625,3.33154296875,4.03,7.54,11.819739746093749
204.37629,2.0,0.0,4.0,0.75390625,3.34521484375,4.03,6.5600000000000005,11.819739746093749
204.399385,2.0,0.0,4.0,0.7519531250000001,3.3603515625,4.03,5.6000000000000005,11.838587158203124
204.415931,2.0,0.0,4.0,0.736328125,3.3720703125,4.03,6.36,11.838587158203124
