timestamp,pose_x,pose_y,pose_heading,vel_vx,vel_vy,vel_omega,target_x,target_y,distance,raw_turret_angle,filtered_turret_angle,turret_setpoint,turret_actual,turret_error,motor_voltage,stator_current,sotm_active,vision_tag_count,vision_feeding,cancoder_position
22.832715,13.003863613331626,3.408021476068228,96.6273440244142,0.0,0.0,0.0,11.915,4.04,1.4376414473594734,52.59420062264499,52.59420062264499,52.59420062264499,52.75,-0.15579937735500948,0.0,-0.24,0.0,0.0,1.0,99.580078125
22.916672,13.003923291563412,3.4084934441829344,96.60042858691412,0.01830989653082172,-0.004236048372100327,-0.003787788741207137,11.915,4.04,1.4374370963203207,52.6358795589355,52.627543771677395,52.627543771677395,52.75,-0.12245622832260494,-0.03,0.08,0.0,0.0,1.0,99.66796875
22.938283,13.003972348151384,3.409075342925744,96.58721308300804,0.015471737923566205,-0.0030951227184278065,0.014836681954954342,11.915,4.04,1.4371783789376587,52.66838602890949,52.66021757746307,52.66021757746307,52.75,-0.0897824225369277,-0.03,0.14,0.0,0.0,1.0,99.66796875
22.962658,13.003979174451752,3.4091954192563656,96.586023911133,0.008409016688694516,-0.0013523975290381687,0.03315973061692615,11.915,4.04,1.4371225656741966,52.673680877319306,52.67098821734806,52.67098821734806,52.75,-0.0790117826519392,-0.03,0.22,0.0,0.0,1.0,99.66796875
22.973194,13.003980256265685,3.409220121266986,96.58590996972666,0.004565620742965805,-7.251679644600724E-4,0.025999459277227487,11.915,4.04,1.4371108405241397,52.674649156223204,52.673916968448175,52.673916968448175,52.75,-0.07608303155182483,-0.03,0.04,0.0,0.0,1.0,99.66796875
22.994026,13.003979360239587,3.409154350114999,96.58632873925802,0.0028917526124167757,-3.631878655218303E-4,9.623108144321514E-4,11.915,4.04,1.4371409015567942,52.67229619312721,52.6726203481914,52.6726203481914,52.75,-0.07737965180859874,-0.03,0.54,0.0,0.0,1.0,99.66796875
23.014319,13.003981802922658,3.4093400583317224,96.58615698535176,0.009136795240277398,-0.0010372929080169303,0.009458405336220815,11.915,4.04,1.4370509320302234,52.67857445831442,52.67738363628982,52.67738363628982,52.75,-0.07261636371018199,-0.03,0.16,0.0,0.0,1.0,99.66796875
23.03324,13.003980631553581,3.409514415445721,96.58261562988297,0.007369978523828577,-7.850533325368615E-4,0.0027605782832961392,11.915,4.04,1.4369599279449083,52.68762711594475,52.68557842001376,52.68557842001376,52.75,-0.06442157998623799,-0.03,0.18,0.0,0.0,1.0,99.66796875
23.055166,13.003979243186752,3.4096371617672117,96.58047537207075,0.009057318355353956,-8.26078818577749E-4,-0.009524111552548823,11.915,4.04,1.436895474021714,52.693680114777024,52.69205977582437,52.69205977582437,52.75,-0.05794022417563127,-0.03,0.36,0.0,0.0,1.0,99.66796875
23.077352,13.00397393062581,3.4098878876233196,96.5779404775391,0.008709746666397173,-7.639643466190195E-4,0.009404241251082876,11.915,4.04,1.4367942438430363,52.70237458585111,52.700311623845764,52.700311623845764,52.75,-0.04968837615423638,-0.03,0.46,0.0,0.0,1.0,99.580078125
