timestamp,pose_x,pose_y,pose_heading,vel_vx,vel_vy,vel_omega,target_x,target_y,distance,raw_turret_angle,filtered_turret_angle,turret_setpoint,turret_actual,turret_error,motor_voltage,stator_current,sotm_active,vision_tag_count,vision_feeding
290.697981,12.871121460373953,5.554435077977296,-164.60090584294042,-0.0,0.0,-0.0,11.915,4.04,1.9694924112235404,42.854354037154906,-9.996169154842374,-9.996169154842374,-18.08984375,8.093674595157626,0.0,-0.12,0.0,1.0,1.0
290.717551,12.871121460373953,5.554435077977296,-164.60067396794042,-0.0,0.0,-0.0,11.915,4.04,1.9694923719657071,42.85422804464785,-2.068609574918842,-2.068609574918842,-17.9140625,15.845452925081158,0.8200000000000001,0.0,0.0,0.0,1.0
290.738976,12.871142434969912,5.554433215839465,-164.5980325734092,-0.0,0.0,-0.0,11.915,4.04,1.969502820540832,42.8536988831079,4.66973669378517,4.66973669378517,-17.9140625,22.58379919378517,1.94,5.34,0.0,1.0,1.0
290.758899,12.871075019012359,5.554438002574556,-164.61415319840918,-0.0,0.0,-0.0,11.915,4.04,1.9694742376432275,42.867678839700616,10.399428015672488,10.399428015672488,-17.9140625,28.313490515672488,2.65,23.8,0.0,1.0,1.0
290.778803,12.87113749442815,5.554433664588177,-164.61611189762795,-0.002347000327439556,8.235608262370418E-4,-0.005739091598654355,11.915,4.04,1.969505336491649,42.87235864402448,15.270367609925286,15.270367609925286,-15.804687500000007,31.075055109925295,3.41,24.32,0.0,1.0,1.0
290.797168,12.871093943230528,5.5544363605175535,-164.5960900460654,0.0027767006457457776,-9.647849012167555E-4,0.0067725324408770635,11.915,4.04,1.9694776851523192,42.850760115787466,19.407426485804613,19.407426485804613,-11.761718749999993,31.169145235804606,4.43,22.52,0.0,1.0,1.0
290.819094,12.871076920181828,5.554437584140071,-164.6084299913779,0.001993980017837493,-6.91354107796339E-4,0.0040858841754183054,11.915,4.04,1.9694732638741788,42.8624211072204,22.925675679016983,22.925675679016983,-6.488281250000007,29.41395692901699,4.95,16.88,0.0,1.0,1.0
290.839072,12.87102692537701,5.554440879850239,-164.6024070343467,0.0019697961845888848,-6.844200581281258E-4,0.00480444609053672,11.915,4.04,1.9694480576599998,42.858231551141,25.915559059835587,25.915559059835587,-0.16015625,26.075715309835587,5.08,15.96,0.0,1.0,1.0
290.858902,12.871028313187779,5.554440788669574,-164.6082026202842,-0.0,0.0,-0.0,11.915,4.04,1.9694481792123908,42.856490422445134,28.45669876422702,28.45669876422702,6.6953125,21.76138626422702,5.5200000000000005,13.88,0.0,1.0,1.0
290.879437,12.871028304332494,5.554440640279083,-164.60214105778414,-0.0,0.0,-0.0,11.915,4.04,1.969448504127514,42.857951907608474,30.616886735734237,30.616886735734237,13.19921875,17.417667985734237,4.65,6.08,0.0,1.0,1.0
290.896503,12.871028304332494,5.554440640279083,-164.59236158512792,-0.0,0.0,-0.0,11.915,4.04,1.9694457328116237,42.84905911856983,32.45171259315958,32.45171259315958,18.47265625,13.979056343159577,3.81,1.1,0.0,0.0,1.0
290.91663,12.871052488639378,5.554439203452055,-164.59739235856543,-0.0,0.0,-0.0,11.915,4.04,1.969458661130336,42.85301344647727,34.01190772115723,34.01190772115723,24.625000000000014,9.386907721157215,2.31,9.44,0.0,1.0,1.0
290.93952,12.871028299965698,5.554440564788515,-164.57324743669037,-0.0,0.0,-0.0,11.915,4.04,1.9694402360717311,42.831676928665196,35.334873102283424,35.334873102283424,29.72265625,5.612216852283424,1.74,16.66,0.0,1.0,1.0
290.959907,12.871028299965698,5.554440564788515,-164.5953213702843,-0.0,0.0,-0.0,11.915,4.04,1.9694427998729676,42.83987594994662,36.4606235294329,36.4606235294329,32.7109375,3.749686029432901,1.29,5.0200000000000005,0.0,1.0,1.0
290.97727,12.871144482373165,5.554433341774379,-164.61099603434673,-0.0057018410183103255,0.001961562180985528,-0.013871668385004714,11.915,4.04,1.9695059312844003,42.86301813559438,37.420982720357124,37.420982720357124,34.64453125,2.7764514703571237,0.8,2.2800000000000002,0.0,1.0,1.0
290.999233,12.871197709418635,5.554429851929955,-164.58710854215923,-0.004328786172266829,0.0014729790362975328,0.0061718624911867295,11.915,4.04,1.9695241986093603,42.83992621135284,38.233824244006485,38.233824244006485,36.05078125,2.1830429940064846,0.6900000000000001,1.2,0.0,1.0,1.0
291.018061,12.871285660943807,5.5544241428562975,-164.5950396749717,-0.001922331216285538,6.679280085346769E-4,-0.004688676305222582,11.915,4.04,1.9695678757241628,42.84487517328995,38.925481883399,38.925481883399,36.75390625,2.1715756333990015,0.96,0.08,0.0,1.0,1.0
291.041007,12.871292466246869,5.554423767736924,-164.5931096984092,-0.0,0.0,-0.0,11.915,4.04,1.9695705898771505,42.84294608399201,39.51310151348795,39.51310151348795,37.808593750000014,1.704507763487939,0.99,2.14,0.0,1.0,1.0
291.05876,12.871252789119891,5.554426144519939,-164.59566630387792,0.0021110681343848945,-7.370964271428062E-4,0.002601060073414054,11.915,4.04,1.9695591563462953,42.84603497617831,40.013041532891506,40.013041532891506,38.3359375,1.6771040328915063,0.47000000000000003,0.92,0.0,0.0,1.0
291.079183,12.871209767015591,5.55442905677482,-164.59809555778423,0.0031574233901657395,-0.0010938057976787657,0.00597325337277798,11.915,4.04,1.9695329856529085,42.84960665737475,40.438526301563996,40.438526301563996,38.86328125,1.5752450515639964,0.68,1.24,0.0,1.0,1.0
291.09944,12.871166475507032,5.554431610902375,-164.6021565734092,0.0014979548959363474,-5.113361613940125E-4,-0.0011844763443187778,11.915,4.04,1.9695135293648471,42.85440953832298,40.800908787077844,40.800908787077844,39.0390625,1.7618462870778444,0.68,6.2,0.0,1.0,1.0
291.119975,12.87109866212249,5.55443566459823,-164.5929407921592,0.002847898098200797,-9.895229756069286E-4,0.00694618711884827,11.915,4.04,1.9694786829945357,42.847768995932235,41.107937818406,41.107937818406,39.91796875,1.1899690684060005,0.8200000000000001,4.6000000000000005,0.0,1.0,1.0
291.138469,12.871041025015312,5.554439316692615,-164.59461531559668,0.002135923573650598,-7.421422317051965E-4,0.005209640339136202,11.915,4.04,1.9694549577918405,42.84923820234195,41.36913287599639,41.36913287599639,40.26953125,1.0996016259963923,0.39,2.48,0.0,1.0,1.0
