timestamp,hood_setpoint,hood_actual,hood_error,motor_voltage,stator_current,velocity_rps,is_homed,flywheel_rpm_target,distance_to_target
16.052922,0.0,-0.087890625,0.087890625,0.0,-0.18,0.0,0.0,2381.042708713213,1.4911479283455353
16.079133,0.0,-0.087890625,0.087890625,0.0,-0.62,0.0,0.0,2381.0592959479604,1.491185226866768
16.155448,0.0,-0.087890625,0.087890625,0.0,-0.8,0.0,0.0,2381.063412117001,1.4911686209685868
16.177282,0.0,-0.087890625,0.087890625,0.0,-0.3,0.0,0.0,2381.097793194885,1.4911300633781546
16.196555,0.0,-0.087890625,0.087890625,0.0,-0.74,0.0,0.0,2381.073070069189,1.4911196615297624
16.217424,0.0,-0.087890625,0.087890625,0.0,-0.36,0.0,0.0,2381.099409213738,1.4911215160090496
16.246473,0.0,-0.087890625,0.087890625,0.0,-0.46,0.0,0.0,2381.1060555138865,1.4912000939634122
16.264912,0.0,-0.087890625,0.087890625,0.0,-0.04,0.0,0.0,2381.1280648626953,1.4912715912844068
16.285539,0.0,-0.087890625,0.087890625,0.0,-0.62,0.0,0.0,2381.1408005322883,1.4912212061694756
16.305555,0.0,-0.087890625,0.087890625,0.0,-0.38,0.0,0.0,2381.140041035576,1.4912413474995598
16.325088,0.0,-0.087890625,0.087890625,0.0,-0.36,0.0,0.0,2381.154514321319,1.4912744198907162
16.342877,0.0,-0.087890625,0.087890625,0.0,-0.58,0.0,0.0,2381.153719525387,1.4913101566331224
16.361427,0.0,-0.087890625,0.087890625,0.0,-0.06,0.0,0.0,2381.14844061387,1.4913127201563954
16.391645,0.0,-0.087890625,0.087890625,0.0,-0.8200000000000001,0.0,0.0,2381.1656302965057,1.491330016359324
16.450727,0.0,-0.087890625,0.087890625,0.0,-0.9,0.0,0.0,2381.176880337727,1.4913319061525567
16.619996,0.0,-0.087890625,0.087890625,0.0,-0.36,0.0,0.0,2381.1674305926445,1.4912194164530723
16.709815,0.0,-0.087890625,0.087890625,0.0,-0.2,0.0,0.0,2381.1618872449303,1.491169240777495
16.776818,0.0,-0.087890625,0.087890625,0.0,-0.32,0.0,0.0,2381.1742933069863,1.4912046647629116
16.819724,0.0,-0.087890625,0.087890625,0.0,-0.44,0.0,0.0,2381.1636743412328,1.4911765102092278
16.870736,0.0,-0.087890625,0.087890625,0.0,-0.34,0.0,0.0,2381.1744694862728,1.4912159919864918
16.88821,0.0,-0.087890625,0.087890625,0.0,-0.22,0.0,0.0,2381.181998197538,1.4912266514711243
16.921563,0.0,-0.087890625,0.087890625,0.0,-0.64,0.0,0.0,2381.19500160142,1.4913126740639442
16.955083,0.0,-0.087890625,0.087890625,0.0,-0.36,0.0,0.0,2381.2043416978263,1.4913114957295799
17.013052,0.0,-0.087890625,0.087890625,0.0,-0.5,0.0,0.0,2381.213298323829,1.4913589695007579
17.053491,0.0,-0.087890625,0.087890625,0.0,-0.36,0.0,0.0,2381.2232808140666,1.4913593887384702
17.100608,0.0,-0.087890625,0.087890625,0.0,-0.74,0.0,0.0,2381.190633852905,1.4913322508788334
17.118138,0.0,-0.087890625,0.087890625,0.0,-0.1,0.0,0.0,2381.19479346179,1.4913327524820361
